Pricing Table,,,,,,,,
package,Priority,,,,,,,
carrier,AA,,,,,,,
subcode,CUU,,,,,,,
result_type,UNITLESS_PTABLE_TYPE,,,,,,,
name,Priority Price Test_t,,,,,,,
comment,Updating stale,,,,,,,
attribute_group,TS,,,,,,,
Pricelines,,,,,,,,
arm,Comment,Segment matches required,Travel dates (Start),Travel dates (End),Loc1,Loc2,Sector direction,Result
Control,Control - no change,,08/06/2026,12/05/2026,P:PBI,P:DCA,From Loc1 to Loc2,1.0
Control,Control - no change,,08/06/2026,12/05/2026,P:PDX,P:PGV,From Loc1 to Loc2,1.0
Control,Control - no change,,08/06/2026,12/05/2026,P:PGV,P:MTJ,From Loc1 to Loc2,1.0
Control,Control - no change,,08/06/2026,12/05/2026,P:PHF,P:BPT,From Loc1 to Loc2,1.0
Control,Control - no change,,08/06/2026,12/05/2026,P:PHF,P:ROW,From Loc1 to Loc2,1.0
Control,Control - no change,,08/06/2026,12/05/2026,P:PHL,P:FLO,From Loc1 to Loc2,1.0
Control,Control - no change,,08/06/2026,12/05/2026,P:PHL,P:MCO,From Loc1 to Loc2,1.0
Control,Control - no change,,08/06/2026,12/05/2026,P:PHX,P:ART,From Loc1 to Loc2,1.0
Control,Control - no change,,08/06/2026,12/05/2026,P:PIT,P:VPS,From Loc1 to Loc2,1.0
Control,Control - no change,,08/06/2026,12/05/2026,P:PNS,P:RAP,From Loc1 to Loc2,1.0
Control,Control - no change,,08/06/2026,12/05/2026,P:PSP,P:GSP,From Loc1 to Loc2,1.0
Control,Control - no change,,08/06/2026,12/05/2026,P:PVU,P:AVP,From Loc1 to Loc2,1.0
Control,Control - no change,,08/06/2026,12/05/2026,P:PVU,P:OKC,From Loc1 to Loc2,1.0
Control,Control - no change,,08/06/2026,12/05/2026,P:PWM,P:HDN,From Loc1 to Loc2,1.0
Control,Control - no change,,08/06/2026,12/05/2026,P:PWM,P:ORF,From Loc1 to Loc2,1.0
